OBJECTID,Shape,radicado,fecha,hora,dia,periodo,clase,direccion,direccion_enc,cbml,tipo_geocod,gravedad,barrio,comuna,diseno,dia_nombre,mes,mes_nombre,longitud,latitud,x_origen_nacional,y_origen_nacional
51,"(4713698.502300001, 2243955.4562)",1591434,2017-07-28 00:00:00,06:00 AM,28,2017,Choque,CR 52 CL 9 Sur,CR  052  S 009  000 00000,1510,Malla vial,SOLO DAÑOS,Guayabal,Guayabal,Tramo de via,VIERNES  ,07,,-75.58813347,6.20152207,4713698.5023,2243955.4562
52,"(4715747.0337000005, 2250953.193000002)",1580464,2017-05-02 00:00:00,07:15 AM,02,2017,Choque,CL 67 CR 65,CL  067   065  000 00000,0406,Malla vial,SOLO DAÑOS,Universidad de Antioquia,Aranjuez,Tramo de via,MARTES   ,05,,-75.56993574,6.26487664,4715747.0337,2250953.193
53,"(4715151.9897, 2246451.1467000004)",1584354,2017-06-01 00:00:00,02:30 PM,01,2017,Volcamiento,CR 49 CL 20,CR  049   020  000 00000,1403,Malla vial aproximada: CR 48-20,HERIDO,Villa Carlota,El Poblado,Lote o Predio,JUEVES   ,06,,-75.57511287,6.22414879,4715151.9897,2246451.1467
54,"(4716079.6227, 2253924.719300002)",1584110,2017-05-30 00:00:00,02:30 PM,30,2017,Choque,CL 97 CR 64,CL  097   064  000 00000,0510,Malla vial cruce invertido,SOLO DAÑOS,Tricentenario,Castilla,Tramo de via,MARTES   ,05,,-75.56706248,6.29175606,4716079.6227,2253924.7193
55,"(4711455.872499999, 2250243.0171000008)",1580933,2017-05-05 00:00:00,08:30 AM,05,2017,Choque,CL 48 CR 92,CL  048   092  000 00000,1206,Malla vial,HERIDO,Santa Lucía,La América,Tramo de via,VIERNES  ,05,,-75.60867321,6.25826491,4711455.8725,2250243.0171
56,"(4715596.2473, 2244768.4417000003)",1582323,2017-05-15 00:00:00,03:00 PM,15,2017,Choque,CR 43 A CL 8,CR  043 A   008  000 00000,1418,Malla vial,SOLO DAÑOS,El Poblado,El Poblado,Tramo de via,LUNES    ,05,,-75.57102547,6.20895553,4715596.2473,2244768.4417
57,"(4714664.679800001, 2250180.3473000005)",1591093,2017-07-24 00:00:00,04:50 AM,24,2017,Choque,CR 64 C CL 55,CR  064 C   055  000 00000,1101,Malla vial,HERIDO,Carlos E. Restrepo,Laureles Estadio,Tramo de via,LUNES    ,07,,-75.57968028,6.25784162,4714664.6798,2250180.3473
58,"(4715501.8145, 2250487.6724000033)",1589700,2017-07-15 00:00:00,01:50 PM,15,2017,Caida Ocupante,CR 57 CL 61,CR  057   061  000 00000,1004,Malla vial,HERIDO,El Chagualo,La Candelaria,Interseccion,SÁBADO   ,07,,-75.57213064,6.26065716,4715501.8145,2250487.6724
59,"(4714805.214500001, 2249040.1918)",1590176,2017-07-16 00:00:00,10:00 PM,16,2017,Choque,CL 44 CR 60,CL  044   060  000 00000,1008,Malla vial,SOLO DAÑOS,Corazón de Jesús,La Candelaria,Tramo de via,DOMINGO  ,07,,-75.57836008,6.24754013,4714805.2145,2249040.1918
60,"(4719083.2537, 2247236.6440000013)",1580158,2017-04-30 00:00:00,05:20 PM,30,2017,Atropello,CL 49 CR 10,CL  049   010  000 00000,0902,Malla vial,HERIDO,Barrio de Jesús,Buenos Aires,Tramo de via,DOMINGO  ,04,,-75.53963106,6.23142252,4719083.2537,2247236.644
61,"(4710423.955800001, 2252319.134900002)",1584855,2017-06-05 00:00:00,07:10 AM,05,2017,Choque,CL 63 CR 108 BB,CL  063   108 BB 000 00000,6098,Malla vial aproximada: CL 63-108A,SOLO DAÑOS,Área de Expansión Pajarito,Corregimiento de San Cristóbal,Tramo de via,LUNES    ,06,,-75.61808961,6.27698731,4710423.9558,2252319.1349
62,"(4717531.934600001, 2248671.752700001)",1585886,2017-06-12 00:00:00,05:15 PM,12,2017,Choque,CL 53 CR 33,CL  053   033  000 00000,0809,Malla vial,HERIDO,Sucre,Villa Hermosa,Interseccion,LUNES    ,06,,-75.55370918,6.24432937,4717531.9346,2248671.7527
63,"(4707390.302000001, 2241087.1679000016)",1590068,2017-07-18 00:00:00,06:10 AM,18,2017,Choque,CR 63 CL 53,CR  063   053  000 00000,8000,Malla vial,SOLO DAÑOS,Cabecera San Antonio de Prado,Corregimiento de San Antonio de Prado,Tramo de via,MARTES   ,07,,-75.64498905,6.17531071,4707390.302,2241087.1679
64,"(4713098.025700001, 2248595.227499999)",1582109,2017-05-15 00:00:00,07:30 AM,15,2017,Caida Ocupante,Tv 39 B CR 73,TV  039 B   073  000 00000,1108,Malla vial,HERIDO,Laureles,Laureles Estadio,Tramo de via,LUNES    ,05,,-75.59376374,6.24344155,4713098.0257,2248595.2275
65,"(4709497.451700001, 2252529.738)",1583678,2017-05-28 00:00:00,07:30 AM,28,2017,Choque,CL 63 CR 117,CL  063   117  000 00000,6010,Malla vial,HERIDO,Pedregal Bajo,Corregimiento de San Cristóbal,Tramo de via,DOMINGO  ,05,,-75.62646981,6.27884928,4709497.4517,2252529.738
66,"(4715153.416, 2248965.9559000023)",1581130,2017-05-03 00:00:00,06:03 PM,03,2017,Choque,CR 57 CL 44,CR  057   044  000 00000,1009,Malla vial,SOLO DAÑOS,La Alpujarra,La Candelaria,Paso Elevado,MIÉRCOLES,05,,-75.57521097,6.2468844,4715153.416,2248965.9559
67,"(4715789.4445, 2247767.4163000006)",1588121,2017-06-30 00:00:00,05:03 PM,30,2017,Choque,CR 43 A CL 37,CR  043 A   037  000 00000,1020,Malla vial aproximada: CR 43-36,SOLO DAÑOS,San Diego,La Candelaria,Puente,VIERNES  ,06,,-75.56941193,6.23607687,4715789.4445,2247767.4163
68,"(4711375.8077, 2250622.920500003)",1589331,2017-07-12 00:00:00,09:10 AM,12,2017,Choque,CL 49 A CR 96,CL  049 A   096  000 00000,1306,Malla vial cruce invertido,HERIDO,La Pradera,San Javier,Interseccion,MIÉRCOLES,07,,-75.60941361,6.2616958,4711375.8077,2250622.9205
69,"(4716958.087600001, 2255554.5352999996)",1583855,2017-05-29 00:00:00,07:00 AM,29,2017,Otro,CR 64 C CL 112,CR  064 C   112  000 00000,0501,Malla vial aproximada: CR 64A-112,HERIDO,Toscana,Castilla,Lote o Predio,LUNES    ,05,,-75.55919745,6.30652979,4716958.0876,2255554.5353
70,"(4715531.376600002, 2249318.4351000004)",1584886,2017-06-02 00:00:00,03:45 AM,02,2017,Choque,CR 54 CL 49,CR  054   049  000 00000,1006,Malla vial,SOLO DAÑOS,San Benito,La Candelaria,Interseccion,VIERNES  ,06,,-75.57181185,6.25008777,4715531.3766,2249318.4351
71,"(4711886.401, 2250440.905000001)",1582298,2017-05-13 00:00:00,07:00 PM,13,2017,Choque,CR 87 CL 48 BB,CR  087   048 BB 000 00000,1304,Malla vial aproximada: CR 87-48B,SOLO DAÑOS,Los Alcázares,San Javier,Interseccion,SÁBADO   ,05,,-75.60479248,6.26007322,4711886.401,2250440.905
72,"(4715738.849399999, 2247067.0404000003)",1591056,2017-07-25 00:00:00,05:00 PM,25,2017,Choque,CR 43 A CL 30,CR  043 A   030  000 00000,1020,Malla vial,SOLO DAÑOS,San Diego,La Candelaria,Tramo de via,MARTES   ,07,,-75.56983819,6.22974275,4715738.8494,2247067.0404
73,"(4711208.7032, 2250683.6676000003)",1580006,2017-04-29 00:00:00,12:20 AM,29,2017,Atropello,CR 96 CC CL 49,CR  096 CC  049  000 00000,1306,Malla vial,HERIDO,La Pradera,San Javier,Tramo de via,SÁBADO   ,04,,-75.61092604,6.26223746,4711208.7032,2250683.6676
74,"(4700903.936, 2246263.1574000046)",1578684,2017-04-18 00:00:00,04:20 PM,18,2017,Caida Ocupante,CR 79 CL 41 Sur,CR  079  S 041  000 00000,,No Ubicada,HERIDO,,,Tramo de via,MARTES   ,04,,-75.70381587,6.22180566,4700903.936,2246263.1574
75,"(4715574.3998, 2248276.9003000017)",1581794,2017-05-11 00:00:00,04:20 PM,11,2017,Choque,CR 50 CL 40,CR  050   040  000 00000,1013,Malla vial,SOLO DAÑOS,Barrio Colón,La Candelaria,Tramo de via,JUEVES   ,05,,-75.57137718,6.24067348,4715574.3998,2248276.9003
76,"(4713196.559800002, 2251907.3355)",1588440,2017-07-05 00:00:00,05:55 AM,05,2017,Otro,CR 80 CL 65,CR  080   065  000 00000,0705,Malla vial,HERIDO,Facultad de Minas U. Nacional,Robledo,Tramo de via,MIÉRCOLES,07,,-75.59302128,6.27338915,4713196.5598,2251907.3355
